# Временное решение
# Формат. Если после формата есть "-" значит это под формат
# Запись. Если записи нет (только Opcode) то "-", в ином случае запись с индексами, т.к. по ним строитя модель в памяти
# Память. Записывается полная модель с размером в байтах, если размер не равен 1,2 или 3 словам - ошибка.
# В *.txt связывание форматов в Principle of Operation и файле
#
# Format,   Mnemonic,               In memory,                                         
#
E           -                       OP(16)
#
I           I1                      OP(8),I1(8)
#
IE          I1,I2                   OP(16),/(8),I1(4),I2(4)
#
MII         M1,RI2,RI3              OP(8),M1(4),RI2(12),RI3(24)
#
RI-a        R1,I2                   OP(8),R1(4),OP(4),I2(16)
RI-b        R1,RI2                  OP(8),R1(4),OP(4),RI2(16)
RI-c        M1,RI2                  OP(8),M1(4),OP(4),RI2(16)
#
RIE-a       R1,I2,M3                OP(8),R1(4),/(4),I2(16),M3(4),/(4),OP(8)
RIE-b       R1,R2,M3,RI4            OP(8),R1(4),R2(4),RI4(16),M3(4),/(4),OP(8)
RIE-c       R1,I2,M3,RI4            OP(8),R1(4),M3(4),RI4(16),I2(8),OP(8)
RIE-d       R1,R3,I2                OP(8),R1(4),R3(4),I2(16),/(8),OP(8)
RIE-e       R1,R3,RI2               OP(8),R1(4),R3(4),RI2(16),/(8),OP(8)
RIE-f       R1,R2,I3,I4,I5          OP(8),R1(4),I2(8),I3(8),I4(8),I5(8),OP(8)
RIE-g       R1,I2,M3                OP(8),R1(4),I2(16),/(8),OP(8)
#
RIL-a       R1,I2                   OP(8),R1(4),OP(4),I2(32)
RIL-b       R1,RI2                  OP(8),R1(4),OP(4),RI2(32)
RIL-c       M1,RI2                  OP(8),M1(4),OP(4),RI2(32)
#
RIS         R1,I2,M3,D4(B4)         OP(8),R1(4),M3(4),B4(4),D4(12),I2(8),OP(8)
#
RR          R1,R2                   OP(8),R1(4),R2(4)
#
RRD         R1,R3,R2                OP(16),R1(4),/(4),R3(4),R2(4)
#
RRE         R1,R2                   OP(16),/(8),R1(4),R2(4)
#RRF-d M3?
